track_id,song_id,artist_id,artist_name,song_title,genre,dot_1,dot_2,dot_3,centered_1,centered_2,centered_3,corr_1,corr_2,corr_3,cosine_1,cosine_2,cosine_3,tfidf_dot_1,tfidf_dot_2,tfidf_dot_3,tfidf_centered_1,tfidf_centered_2,tfidf_centered_3,tfidf_corr_1,tfidf_corr_2,tfidf_corr_3,tfidf_cosine_1,tfidf_cosine_2,tfidf_cosine_3
TRRLVOI128F92EB38D,SOKINKK12AB017C9F6,ARNJ9LU1187B9A56A6,Il Divo,Hallelujah (Aleluya),classical,Violadores del Verso - Dale tiempo al rumor,Violadores del Verso - Cantando,Victor Manuelle - Lloré Lloré,Violadores del Verso - Dale tiempo al rumor,Violadores del Verso - Cantando,Victor Manuelle - Lloré Lloré,La Oreja de Van Gogh - El 28,Grupo Niche - Buenaventura Y Caney,Violadores del Verso - Cantando,La Oreja de Van Gogh - El 28,Grupo Niche - Buenaventura Y Caney,Violadores del Verso - Cantando,Violadores del Verso - Cantando,Violadores del Verso - Dale tiempo al rumor,Violadores del Verso - No Paseis Por Alto A Los Genios,Violadores del Verso - Cantando,Violadores del Verso - Dale tiempo al rumor,Violadores del Verso - No Paseis Por Alto A Los Genios,Grupo Niche - Buenaventura Y Caney,Love Of Lesbian - El ectoplasta,Jerry Rivera - Amores Como El Nuestro,Grupo Niche - Buenaventura Y Caney,Love Of Lesbian - El ectoplasta,Jerry Rivera - Amores Como El Nuestro
TRHPPNF128F42ACFA9,SOCXAJQ12A8C13FD4E,ARNJ9LU1187B9A56A6,Il Divo,Hasta Mi Final,classical,Violadores del Verso - Dale tiempo al rumor,Johnny Prez - Te Vuelvo Loca,Violadores del Verso - Cantando,Violadores del Verso - Dale tiempo al rumor,Johnny Prez - Te Vuelvo Loca,Violadores del Verso - Cantando,Maelo Ruiz - Te Amo,Terranova - De Oro,Ana Gabriel - Clemencia,Maelo Ruiz - Te Amo,Terranova - De Oro,Ana Gabriel - Clemencia,Violadores del Verso - Dale tiempo al rumor,Violadores del Verso - Cantando,Daddy Yankee - Todos Quieren A Raymond,Violadores del Verso - Dale tiempo al rumor,Violadores del Verso - Cantando,Tranzas - Mañana que más da,KALIMBA - Llorar duele mas,Joe Arroyo - Tal Para Cual,Café Quijano - Vete De Mi,KALIMBA - Llorar duele mas,Joe Arroyo - Tal Para Cual,Aventura - Todavía Me Amas
TRUXYDP128F93234BD,SOYGKHG12AB01804C8,ARS54I31187FB46721,Taylor Swift,Crazier,country,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Danity Kane - Hold Me Down (Album Version),Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Danity Kane - Hold Me Down (Album Version),Amerie - Higher,Chely Wright - Between A Mother And A Child,Clint Black - You Made Me Feel,Amerie - Higher,Chely Wright - Between A Mother And A Child,Clint Black - You Made Me Feel,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Matisyahu - Close My Eyes,Matisyahu - Close My Eyes,Paul Anka - The Way You Make Me Feel,Joni Mitchell - Paprika Plains  (Remix),Plan B - Love Goes Down,Clint Black - You Made Me Feel,Midtown - Manhattan,Plan B - Love Goes Down,Clint Black - You Made Me Feel,Powerman 5000 - Watch The Sky For Me
TRKVVVK12903CB592C,SODUDUN12AB018CCAB,ARS54I31187FB46721,Taylor Swift,Fifteen,country,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Eminem - My Darling,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Eminem - My Darling,Damian Marley - In 2 Deep,HELLYEAH - Nausea,Junior Boys - Double Shadow,Damian Marley - In 2 Deep,HELLYEAH - Nausea,Alison Krauss / Union Station - The Lucky One,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Snoop Dogg - Snoopafella (Edited),Lauryn Hill - Interlude 5,Gang Starr - The Illest Brother,Michael Jackson - Man In The Mirror,Fantasia - Bump What Your Friends Say,Harry Connick_ Jr. - Someday,Me First And The Gimme Gimmes - Rainbow Connection,Lauryn Hill - Interlude 5,Gang Starr - The Illest Brother,King Tee - Act A Fool
TRUVVME12903CBA350,SORRBVQ12A58A7AA33,ARS54I31187FB46721,Taylor Swift,Change,country,Lauryn Hill - Interlude 5,Vanilla Ice - Ice Is Workin' It,Daft Punk - Touch It / Technologic,Lauryn Hill - Interlude 5,Vanilla Ice - Ice Is Workin' It,Daft Punk - Touch It / Technologic,Ella Fitzgerald - Manhattan,Modern Life Is War - Destination: Death or Better Days,Dean Martin - Side By Side,Ella Fitzgerald - Manhattan,Modern Life Is War - Destination: Death or Better Days,Dead Kennedys - Kinky Sex Makes the World Go 'Round,Lauryn Hill - Interlude 5,Binary Star - Indy 500,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Lauryn Hill - Interlude 5,Binary Star - Indy 500,The Cat Empire - Days Like These,Ayreon - Prologue,Steel Pulse - Handsworth Revolution,The Cat Empire - Days Like These,The Cat Empire - Days Like These,Lauryn Hill - Interlude 5,Steel Pulse - Handsworth Revolution
TRZGWCY12903CEF521,SOVMMRT12D021B2E6E,ARHATLI1187FB52C76,Toby Keith,You Can't Read My Mind,country,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Twista - I'm A Winner (Amended Album Version),Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Anastacia - Club Megamix,Amanda Jenssen - Don't Worry,New Order - Bizarre Love Triangle,Anastacia - Club Megamix,Amanda Jenssen - Don't Worry,New Order - Bizarre Love Triangle,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Lauryn Hill - Interlude 5,Eminem - 8 Mile,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Daryl Hall - Help Me Find A Way To Your Heart,Mutya Buena - Not Your Baby,Mutya Buena - Not Your Baby,B.B. King - All Over Again,Colbie Caillat - Midnight Bottle,Mutya Buena - Not Your Baby,Dance Hall Crashers - DHC,Daryl Hall - Help Me Find A Way To Your Heart
TRMAVQT128F4270DBF,SOLJTVT12A58A79F96,ARH861H1187B9B799E,Johnny Cash,Man In White,country,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Eminem - 8 Mile,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Eminem - 8 Mile,Faron Young - Riverboat,Snoop Dogg - Snoopafella (Edited),John Denver - El Paso,Faron Young - Riverboat,Snoop Dogg - Snoopafella (Edited),John Denver - El Paso,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Lauryn Hill - Interlude 5,Savatage - The Hourglass,Savatage - The Hourglass,Snoop Dogg - Snoopafella (Edited),Dar Williams - Mortal City,The Psychedelic Furs - Flowers,Hank Williams - I Saw the Light,Brooks & Dunn - Born And Raised In Black And White,Snoop Dogg - Snoopafella (Edited),Savatage - The Hourglass,Billy Gilman - Oklahoma
TRWVEDL128F4293EA3,SOOVRMN12AF72A0933,AR7ZFLN1187FB4830A,Rascal Flatts,Holes,country,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Twista - I'm A Winner (Amended Album Version),Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Twista - I'm A Winner (Amended Album Version),Joni Mitchell - Lesson In Survival  (LP Version),RKL - Heavily Sedated,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Joni Mitchell - Lesson In Survival  (LP Version),RKL - Heavily Sedated,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Twista - Overdose (Album Version),Lauryn Hill - Interlude 5,Dr. Alban - One Love,KRS-One - The Truth,Violet Indiana - Safe Word,Ulver - The Truth,Nick Lowe - Indian Queens,Violet Indiana - Safe Word,Nick Lowe - Indian Queens,Ulver - The Truth
TRTVVYX128F9328DBA,SOMKEYV12AF72A20B2,ARFL99B1187B9A2A45,Sugarland,Baby Girl,country,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Twista - I'm A Winner (Amended Album Version),Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Twista - I'm A Winner (Amended Album Version),Michael Bublé - Stuck In The Middle With You (Non-Album Track),Gary Allan - Promise Broken,A Tribe Called Quest - Hot Sex,Michael Bublé - Stuck In The Middle With You (Non-Album Track),Gary Allan - Promise Broken,A Tribe Called Quest - Hot Sex,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Momus - Closer To You,Lauryn Hill - Interlude 5,Barry White - Never Gonna Give You Up,Momus - Closer To You,The Dramatics - Be My Girl,Barry White - Never Gonna Give You Up,Dusty Springfield - Send It To Me,Lonestar - Please Come Home For Christmas,Barry White - Never Gonna Give You Up,Dusty Springfield - Send It To Me,Lonestar - Please Come Home For Christmas
TRTGPPK128F1459DD4,SOIHEED12A6D4F5E36,AR4DW2Q1187FB44DB6,Billy Currington,Growin' Up Down There,country,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Twista - I'm A Winner (Amended Album Version),Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Twista - I'm A Winner (Amended Album Version),The Streets - The Irony Of It All (Album Version),N-Dubz - Sex,Westlife - That's Life,The Streets - The Irony Of It All (Album Version),N-Dubz - Sex,Lil Wyte - Ten Toes Tall,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Savatage - The Hourglass,Lost Boyz - Summer Time,Savatage - The Hourglass,"Digable Planets - Pacifics (Sdtrk ""N.Y. Is Red Hot"")",Confederate Railroad - Summer In Dixie (Remastered Album Version),Julie Ruin - Aerobicide,Alexandra Burke - Dumb,Alexandra Burke - Dumb,Confederate Railroad - Summer In Dixie (Remastered Album Version),Dido - Summer
TRHUIRM128F426BFD5,SOMDWHQ12A6D4F5E30,AR4DW2Q1187FB44DB6,Billy Currington,Hangin' Around,country,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Erykah Badu - I Want You,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Erykah Badu - I Want You,Kevin Devine - Fever Moon,The Corrs - Irresistible ( LP Version ),Ricky Skaggs - I Wouldn't Change You If I Could,Kevin Devine - Fever Moon,The Corrs - Irresistible ( LP Version ),Ricky Skaggs - I Wouldn't Change You If I Could,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Lauryn Hill - Interlude 5,The Streets - Weak Become Heroes,Billie Piper - Day And Night,Aaron Neville - Don't Fall Apart On Me Tonight,The Streets - Weak Become Heroes,Blacklisted - Wish,The Coral - I Forgot My Name,Incognito - Chase The Clouds Away,Blacklisted - Wish,The Coral - I Forgot My Name,Incognito - Chase The Clouds Away
TRJNTQQ128F426BFD0,SOVXWMI12A8C13B667,AR4DW2Q1187FB44DB6,Billy Currington,Here I Am,country,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Twista - I'm A Winner (Amended Album Version),Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Twista - I'm A Winner (Amended Album Version),Aesop Rock - Shovel,Michael Bublé - Stuck In The Middle With You (Non-Album Track),Momus - Closer To You,Aesop Rock - Shovel,Michael Bublé - Stuck In The Middle With You (Non-Album Track),Momus - Closer To You,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Lauryn Hill - Interlude 5,Petey Pablo - Fool For Love,Houston - Twizala,Jackson 5 - Lookin' Through The Windows,G-Unit - Beg For Mercy,Remy Shand - Looking Back On Vanity,Jackson 5 - Lookin' Through The Windows,Houston - Twizala,Remy Shand - Looking Back On Vanity,Houston - Twizala,Jackson 5 - Lookin' Through The Windows
TRZJCNT128F426BFCC,SOWNWBW12A8C13B65E,AR4DW2Q1187FB44DB6,Billy Currington,She's Got A Way With Me,country,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Twiztid - She Ain't Afraid,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Young Jeezy - By The Way,Josh Turner - Haywire,Atmosphere - Hair,James Taylor - Something In The Way She Moves,Josh Turner - Haywire,Atmosphere - Hair,James Taylor - Something In The Way She Moves,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Lauryn Hill - Interlude 5,Twiztid - She Ain't Afraid,Barry White - Never Gonna Give You Up,The Corrs - Queen Of Hollywood ( LP Version ),Twiztid - She Ain't Afraid,Clint Black - Half The Man,Barry White - Never Gonna Give You Up,Teenage Bottlerocket - She's Not the One,Clint Black - Half The Man,Barry White - Never Gonna Give You Up,Johnny Cash - A Thing Called Love
TRPZEWS128F92F585E,SOOSFVL12AB018253F,AR4DW2Q1187FB44DB6,Billy Currington,That's How Country Boys Roll,country,Lauryn Hill - Interlude 5,Michael Jackson - Man In The Mirror,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Lauryn Hill - Interlude 5,Michael Jackson - Man In The Mirror,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),The Dubliners - The Molly Maguires,Dropkick Murphys - Good Rats (Live),Valient Thorr - False Profits,The Dubliners - The Molly Maguires,Dropkick Murphys - Good Rats (Live),Valient Thorr - False Profits,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Lauryn Hill - Interlude 5,Savatage - The Hourglass,Nivea - Indian Dance,Alabama - Roll On (Eighteen Wheeler),Ferlin Husky - Convoy,Lyle Lovett - North Dakota,Alabama - Roll On (Eighteen Wheeler),Nivea - Indian Dance,Lyle Lovett - North Dakota,Alabama - Roll On (Eighteen Wheeler),Nivea - Indian Dance
TRYPBLE128F1459DD1,SOKHXYG12A6D4F5E33,AR4DW2Q1187FB44DB6,Billy Currington,Where The Girls Are,country,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Eminem - My Darling,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Eminem - My Darling,Public Image Ltd - Where Are You?,Antimatter - Legions,Leo Sayer - Wondering Where The Lions Are,Public Image Ltd - Where Are You?,Antimatter - Legions,Leo Sayer - Wondering Where The Lions Are,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Eminem - 8 Mile,Murs - The Dance,Cyndi Lauper - Girls Just Want To Have Fun,Kurtis Blow - AJ Scratch,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Cyndi Lauper - Girls Just Want To Have Fun,Greg Laswell - Girls Just Want To Have Fun (Demo),Jamie Cullum - Music Is Through,Cyndi Lauper - Girls Just Want To Have Fun,Greg Laswell - Girls Just Want To Have Fun (Demo),Thomas Dolby - Screen Kiss
TRKVITQ128F4271B31,SOVALXP12D021B3DA8,ARH861H1187B9B799E,Johnny Cash,Daddy Sang Bass,country,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),The Pharcyde - Otha Fish,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),The Pharcyde - Otha Fish,Pentangle - Will the Circle Be Unbroken?,Opera IX - Immortal Chant,Bruce Springsteen - Brothers Under The Bridges ('83),Pentangle - Will the Circle Be Unbroken?,Opera IX - Immortal Chant,Bruce Springsteen - Brothers Under The Bridges ('83),Lauryn Hill - Interlude 5,Eminem - 8 Mile,Dolly Parton - Daddy's Moonshine Still,Dolly Parton - Daddy's Moonshine Still,Merle Haggard - Daddy Frank,Triumvirat - Sing Me A Song (Non Album Track),Cross Canadian Ragweed - Lawrence,Merle Haggard - Daddy Frank,Lefty Frizzell - Mom And Dad's Waltz,Cross Canadian Ragweed - Lawrence,Merle Haggard - Daddy Frank,Dolly Parton - Daddy's Moonshine Still
TRGZDBB128F4270A4C,SOLWDNH12D021B2402,ARH861H1187B9B799E,Johnny Cash,I Don't Know Where I'm Bound,country,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Eminem - 8 Mile,R. Kelly - I Mean (I Don't Mean It),Eminem - 8 Mile,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),R. Kelly - I Mean (I Don't Mean It),LMFAO - I Am Not A Whore,Sylver - Fallin',Sneaky Sound System - 16,LMFAO - I Am Not A Whore,Sylver - Fallin',Sneaky Sound System - 16,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Louis Logic - Dos Factotum,Lauryn Hill - Interlude 5,Louis Logic - Dos Factotum,Anastacia - Club Megamix,Soulfly - One Nation (Album Version),Soulfly - One Nation (Album Version),Darden Smith - Swept Away,Louis Logic - Dos Factotum,Louis Logic - Dos Factotum,Soulfly - One Nation (Album Version),Bessie Smith - Back water blues
TRMBNRH12903D02C23,SOWLYYP12D0219044F,ARH861H1187B9B799E,Johnny Cash,I Was There When It Happened,country,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Eminem - 8 Mile,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Eminem - 8 Mile,Common - Book Of Life,Bananarama - Lovebite,Lupe Fiasco - Hurt Me Soul (Explicit Album Version),Common - Book Of Life,Bananarama - Lovebite,Lupe Fiasco - Hurt Me Soul (Explicit Album Version),Lauryn Hill - Interlude 5,DJ Quik - Safe + Sound,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Lauryn Hill - Oh Jerusalem,Nothingface - Villains (Full-Length),DJ Quik - Safe + Sound,Nothingface - Villains (Full-Length),Iron Maiden - Lord Of The Flies (Live In Dortmund),Ginuwine - Ginuwine 4 ur Mind,Nothingface - Villains (Full-Length),Iron Maiden - Lord Of The Flies (Live In Dortmund),Ginuwine - Ginuwine 4 ur Mind
TRBXYKU128F427915D,SOEXZQP12D021B0F1D,ARH861H1187B9B799E,Johnny Cash,The Big Battle,country,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Eminem - My Darling,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Eminem - My Darling,Solefald - Loki Trickster God,KRS ONE - I'm On The Mic,Snow Patrol - The Lightning Strike,Solefald - Loki Trickster God,KRS ONE - I'm On The Mic,Snow Patrol - The Lightning Strike,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Twista - Overdose (Album Version),Lauryn Hill - Interlude 5,Gang Starr - The Illest Brother,Esham - Killin' Spree,Fugees (Tranzlator Crew) - Temple,Esham - Killin' Spree,Bellamy Brothers - Livin In The West,Jolie Holland - Mexico City,Esham - Killin' Spree,Gang Starr - The Illest Brother,John Denver - El Paso
TRFRXGD128F42717FF,SOHCAKG12A8BED7973,ARH861H1187B9B799E,Johnny Cash,A Thing Called Love,country,Lauryn Hill - Interlude 5,Michael Jackson - Man In The Mirror,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Lauryn Hill - Interlude 5,Michael Jackson - Man In The Mirror,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Pete Murray - My Time,Reckless Kelly - Broken Heart,Aesop Rock - Mars Attacks,Aesop Rock - Mars Attacks,Company Flow - The Fire In Which You Burn (feat. J-Treds & The Brewin From The Juggaknots),Pete Murray - My Time,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Savatage - The Hourglass,Michael Jackson - Man In The Mirror,Savatage - The Hourglass,Jay-Z - Soon You'll Understand,Billy Currington - She's Got A Way With Me,David Bowie - Baal's Hymn,Erasure - Intro: Guess I'm Into Feeling,Billy Currington - She's Got A Way With Me,David Bowie - Baal's Hymn,Dixie Chicks - Travelin' Soldier
TRYIYFG128F42603CC,SOOUGLY12A8BEE954A,ARH861H1187B9B799E,Johnny Cash,You Dreamer You,country,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Erykah Badu - I Want You,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Erykah Badu - I Want You,Heavenly - Tool,Jay-Jay Johanson - I fantasize of you,Hello Saferide - Get Sick Soon,Heavenly - Tool,Jay-Jay Johanson - I fantasize of you,Hello Saferide - Get Sick Soon,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Joe Bonamassa - Asking Around For You,Recoil - Curse,Joe Bonamassa - Asking Around For You,Josh Groban - It Came Upon A Midnight Clear (Album Version),Flipsyde - Angel,Joe Bonamassa - Asking Around For You,Brooks & Dunn - You're My Angel,Josh Groban - It Came Upon A Midnight Clear (Album Version),Joe Bonamassa - Asking Around For You,Gatsbys American Dream - Just Like Heaven,Brooks & Dunn - You're My Angel
TRQHDNY128F92E3A01,SOOFVUE12AB017B824,ARH861H1187B9B799E,Johnny Cash,I Walk The Line,country,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Brian McKnight - Holdin' On [Missin' U] (Album Version),Ben Folds Five - Don't Change Your Plans,Mario Vazquez - Everytime I...,Brian McKnight - Holdin' On [Missin' U] (Album Version),Ben Folds Five - Don't Change Your Plans,Clint Black - Killin' Time,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Lauryn Hill - Interlude 5,DMX - Keep Your Shit The Hardest,DMX - Keep Your Shit The Hardest,Demi Lovato - Until You're Mine,Dilated Peoples - Expansion Team Theme,Tony Bennett - Close Your Eyes,Demi Lovato - Until You're Mine,Big Bad Voodoo Daddy - Still In Love With You,Demi Lovato - Until You're Mine,Tony Bennett - Close Your Eyes,Big Bad Voodoo Daddy - Still In Love With You
TRGCHXM128F429CBB9,SOKDAHN12A8C13F938,ARH861H1187B9B799E,Johnny Cash,Life's Railway To Heaven,country,Lauryn Hill - Interlude 5,Michael Jackson - Man In The Mirror,The Pharcyde - Otha Fish,Lauryn Hill - Interlude 5,The Pharcyde - Otha Fish,Michael Jackson - Man In The Mirror,Andrea Bocelli - The Lords Prayer,Amici Forever - The Prayer,Pain of Salvation - Kingdom of Loss,Andrea Bocelli - The Lords Prayer,Amici Forever - The Prayer,Pain of Salvation - Kingdom of Loss,Flipsyde - Angel,Lauryn Hill - Interlude 5,Will.I.Am - She's A Star,Flipsyde - Angel,Gentleman - Different Places,Will.I.Am - She's A Star,Disgorge - Parallels Of Infinite Torture,Flipsyde - Angel,Scapegoat - Monster,Disgorge - Parallels Of Infinite Torture,Flipsyde - Angel,Scapegoat - Monster
TRSJGNV128F92F4124,SODVCJH12AF72A4A08,AR3ETJY1187B98ED15,Darius Rucker,If I Had Wings,country,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Lauryn Hill - Interlude 5,Eminem - 8 Mile,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Mario Vazquez - Everytime I...,Lauryn Hill - Interlude 5,Unsung Zeros - Intermission,Manafest - Runaway,Alice Peacock - Here I Go Again,Unsung Zeros - Intermission,Manafest - Runaway,Alice Peacock - Here I Go Again,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Savatage - The Hourglass,Jazzamor - fly,Will.I.Am - The Traveling Song,Kurt Elling - Resolution,Jazzamor - fly,Percy Sledge - My Special Prayer,Newcleus - Why,Jazzamor - fly,Percy Sledge - My Special Prayer,Newcleus - Why
TRHTOYT128F429FEF4,SOVZHIK12A8C1349BD,ARNNM56119B86686EA,Luke Bryan,Pray About Everything,country,Mindless Self Indulgence - Never Wanted to Dance,Lauryn Hill - Interlude 5,R. Kelly - I Mean (I Don't Mean It),Mindless Self Indulgence - Never Wanted to Dance,R. Kelly - I Mean (I Don't Mean It),Lauryn Hill - Interlude 5,Diamond Rio - One More Day,Savoy Brown - Stay While The Night Is Young,Chicago - Life It What It Is (Remastered LP Version),Diamond Rio - One More Day,Savoy Brown - Stay While The Night Is Young,Chicago - Life It What It Is (Remastered LP Version),Savatage - The Hourglass,Alicia Keys - Tell You Something (Nana's Reprise),Nelly - Splurge,Billy Ray Cyrus - Crazy 'Bout You Baby,Curtis Mayfield - Don't Worry (ReMastered),Will.I.Am - Fantastic,Curtis Mayfield - Don't Worry (ReMastered),Carolyn Dawn Johnson - One Day Closer to You,RJD2 - Work It Out,Curtis Mayfield - Don't Worry (ReMastered),Carolyn Dawn Johnson - One Day Closer to You,Billy Ray Cyrus - Crazy 'Bout You Baby
TRCFFVR128F145D6DF,SOYPMDY12A6D4F77DE,AR95IYB1187FB3FE0B,Keith Urban,Your Everything,country,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Twista - I'm A Winner (Amended Album Version),Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),The Dells - It's All Up To You,Amici Forever - Whisper of Angels,Momus - Closer To You,The Dells - It's All Up To You,Momus - Closer To You,Amici Forever - Whisper of Angels,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Savatage - The Hourglass,MIMS - Move (If You Wanna),Savatage - The Hourglass,Michael Jackson - Man In The Mirror,Paul Potts - La Prima Volta (First Time Ever I Saw Your Face),Maximilian Hecker - Snow,HorrorPops - Trapped,Paul Potts - La Prima Volta (First Time Ever I Saw Your Face),Maximilian Hecker - Snow,HorrorPops - Trapped
